kind,source,total,valid,coordinate_valid,p_ratio_mae,p_ratio_r2,final_pos_mse,split,transfer_only,reference_dim,latent_dim,seed,context,run_status,job_id
rollout,depablo_low_temp,20,20,20,0.2775883927617304,0.21088107306933612,3.0708820986546925e-05,validation,False,96,2,3456456,0,completed,4671405.zeus-master
rollout,depablo_mixed_temp,20,20,20,0.34252064643344593,-0.05517440833887721,5.7921781012737485e-05,validation,True,96,2,3456456,0,completed,4671405.zeus-master
rollout,reid,20,20,20,0.24943687130021241,-1.7045215492016013,4.685591073894102e-05,validation,False,96,2,3456456,0,completed,4671405.zeus-master
rollout,depablo_low_temp,20,20,20,0.06686770698594013,0.9544403188604655,1.2665710272585784e-05,validation,False,96,2,3456456,16,completed,4671405.zeus-master
rollout,depablo_mixed_temp,20,20,20,0.08112796620630837,0.909061645596733,3.1277774974114435e-05,validation,True,96,2,3456456,16,completed,4671405.zeus-master
rollout,reid,20,20,20,0.06697293356425957,0.8395621507898744,3.22126179753468e-05,validation,False,96,2,3456456,16,completed,4671405.zeus-master
ae,depablo_low_temp,20,20,20,0.04106248149888271,0.9834766367706159,1.2391180496251763e-05,validation,False,96,2,3456456,-1,completed,4671405.zeus-master
ae,depablo_mixed_temp,20,20,20,0.12942106957652397,0.7804741315179424,7.520875935824733e-05,validation,True,96,2,3456456,-1,completed,4671405.zeus-master
ae,reid,20,20,20,0.07453037470007731,0.8131740967023227,3.7036408957646924e-05,validation,False,96,2,3456456,-1,completed,4671405.zeus-master
rollout,depablo_low_temp,20,20,20,0.21261718557692832,0.47381276598629785,2.4401928612860502e-05,validation,False,96,2,123,0,completed,4671407.zeus-master
rollout,depablo_mixed_temp,20,20,20,0.2486076923988425,0.3801014717351734,4.5170593421062224e-05,validation,True,96,2,123,0,completed,4671407.zeus-master
rollout,reid,20,20,20,0.3548730640245916,-3.753757552300752,5.8474373008721156e-05,validation,False,96,2,123,0,completed,4671407.zeus-master
rollout,depablo_low_temp,20,20,20,0.08629661558718482,0.9214649878043977,1.4221752519461005e-05,validation,False,96,2,123,16,completed,4671407.zeus-master
rollout,depablo_mixed_temp,20,20,20,0.08587547218473568,0.9010441286367132,3.1342471197604026e-05,validation,True,96,2,123,16,completed,4671407.zeus-master
