epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.6375344748497009,0.5414354321286082,0.64790294277668,0.6849265062212944,0.5901424427032471,0.6375344744622707,0.6849265062212944,0.5396182555854321,0.46304417891800403,0.6198266853392124,0.5414354321286082,0.6198266853392124,Reid + low-T 2D AE,4,normalized_delta,96
2,0.3738767139911652,0.357275082860142,0.3552381179332733,0.3284504590034485,0.41930296683311463,0.37387671291828156,0.41930296683311463,0.35612292619422076,0.379330853253603,0.335219312466681,0.357275082860142,0.379330853253603,Reid + low-T 2D AE,4,normalized_delta,96
3,0.3170975232720375,0.32408585687913,0.2929544801712036,0.2572968698740005,0.37689817667007447,0.3170975232720375,0.37689817667007447,0.32322118798457083,0.3555954077243805,0.2925763060338795,0.32408585687913,0.3555954077243805,Reid + low-T 2D AE,4,normalized_delta,96
4,0.24615526056289672,0.2282246903795749,0.22072488021850586,0.17637091782689093,0.31593960407376287,0.24615526095032692,0.31593960407376287,0.22832541783899069,0.30290566037967803,0.15354372037947178,0.2282246903795749,0.30290566037967803,Reid + low-T 2D AE,4,normalized_delta,96
5,0.1847541589140892,0.22035085015371442,0.16454382520914076,0.12408867475390434,0.24541964235901834,0.18475415855646132,0.24541964235901834,0.22048391550965607,0.29508939291536807,0.14561230739206077,0.22035085015371442,0.29508939291536807,Reid + low-T 2D AE,4,normalized_delta,96
6,0.17231795552372933,0.20812533662561328,0.1538063657283783,0.11607130409777164,0.22856460700929165,0.17231795555353163,0.22856460700929165,0.20815570751577617,0.27385411511175334,0.1423965581394732,0.20812533662561328,0.27385411511175334,Reid + low-T 2D AE,4,normalized_delta,96
7,0.16706461611390114,0.2143783348193392,0.14892054542899133,0.11275395359098911,0.2213752787709236,0.16706461618095636,0.2213752787709236,0.21432380485348404,0.28263385949283837,0.14612281014584005,0.2143783348193392,0.28263385949283837,Reid + low-T 2D AE,4,normalized_delta,96
8,0.16439456287026405,0.22265330134518443,0.1469291400164366,0.11091117432713508,0.21787795037031174,0.1643945623487234,0.21787795037031174,0.22275639135949313,0.2993184946663678,0.1459881080240011,0.22265330134518446,0.2993184946663678,Reid + low-T 2D AE,4,normalized_delta,96
9,0.16148681476712226,0.21531534965429455,0.14425610449910165,0.10819527767598629,0.2147783519923687,0.16148681483417748,0.2147783519923687,0.21539799175504595,0.2884824104178697,0.14214828889071943,0.21531534965429455,0.2884824104178697,Reid + low-T 2D AE,4,normalized_delta,96
10,0.15864956824481488,0.21836735942587257,0.14174618746340276,0.10591626359522342,0.21138287310302256,0.158649568349123,0.21138287310302256,0.21824202337302268,0.29684755981341004,0.1398871590383351,0.21836735942587257,0.29684755981341004,Reid + low-T 2D AE,4,normalized_delta,96
11,0.15661011680960654,0.21751418239902706,0.1398351720571518,0.10403693303465843,0.20918330019712447,0.15661011661589144,0.20918330019712447,0.21743858361057938,0.2979635144621134,0.1370648503359407,0.21751418239902703,0.2979635144621134,Reid + low-T 2D AE,4,normalized_delta,96
12,0.15371791824698447,0.22357822406757624,0.13720812106132507,0.10191472592204809,0.20552111116051675,0.15371791854128242,0.20552111116051675,0.2234262610306032,0.30990267396718263,0.13725377416796983,0.22357822406757621,0.30990267396718263,Reid + low-T 2D AE,4,normalized_delta,96
13,0.150891380995512,0.21548051733197646,0.13509365651011468,0.10064721646904945,0.2011355454325676,0.1508913809508085,0.2011355454325676,0.2153191806813702,0.2966127956639975,0.13434823899995535,0.21548051733197643,0.2966127956639975,Reid + low-T 2D AE,4,normalized_delta,96
14,0.1488589908182621,0.21798897115187718,0.13329176643490792,0.09984095422923565,0.19787702611088753,0.1488589901700616,0.19787702611088753,0.21777396899694576,0.3000198128055781,0.1359581294981763,0.2179889711518772,0.3000198128055781,Reid + low-T 2D AE,4,normalized_delta,96
