source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error
depablo_low_temp,5,20,20,20,-0.1259580341153581,0.23329055605432142,0.0635535199374179,1.7230161944326027e-06,0.003128115087747574,0.000352086553175468
depablo_low_temp,10,20,20,20,0.04293500062197397,0.2708787068706844,0.08909196724582674,1.1887934874721395e-06,0.002542950224597007,0.0004122992613702081
depablo_low_temp,25,20,20,20,0.2174523394730291,0.2749277251128374,0.1113451632350467,7.551495649238404e-07,0.0012787525309249758,0.0010202829078480135
depablo_low_temp,50,20,20,20,0.37291721735197414,0.22783888401230432,0.12192390929122102,2.2928391274490423e-06,0.002079916186630726,0.0017238250031368807
depablo_low_temp,75,20,20,20,0.3069287873454184,0.23413005967561173,0.1271388104990921,6.060472391311578e-06,0.0033268819330260157,0.002607751206960529
depablo_low_temp,100,20,20,20,0.21795645828126298,0.2501323995021774,0.1309363081666797,1.387659460760915e-05,0.0060142060741782185,0.003633297252235934
depablo_mixed_temp,5,20,20,20,-0.12139948578102988,0.41023262106767416,0.22679945757564682,2.5080374950903205e-05,0.007205266738310456,0.0009470365970628336
depablo_mixed_temp,10,20,20,20,0.07503311449603056,0.3590260012270341,0.17922109704665723,2.5383979442494818e-05,0.006739022384863347,0.001219773582124617
depablo_mixed_temp,25,20,20,20,0.06249404691651339,0.3213301973439923,0.18142652653321048,2.202211138353505e-05,0.005151008174289018,0.0011225454538362101
depablo_mixed_temp,50,20,20,20,0.15087124701508048,0.2592182072269653,0.12905106469273595,1.9644784138961313e-05,0.002367734722793102,0.0018830164408427663
depablo_mixed_temp,75,20,20,20,-0.05798875125085834,0.3141752415044952,0.1721180025747532,2.205170462161732e-05,0.0023905044421553613,0.0033468849724158645
depablo_mixed_temp,100,20,20,20,0.08348134915791916,0.2624663581706556,0.12643548055144446,2.9636115675657494e-05,0.005095043964684009,0.003726325326715596
lj_noisy,5,20,20,20,-174.28131209866166,0.4609658443641593,0.0012192600578043978,1.6383298060418383e-06,0.003020969859790057,0.0005850079847732559
lj_noisy,10,20,20,20,-98.1134780971472,0.45976649746849196,0.002153844244672589,1.2520680655825346e-06,0.0025283374940045177,0.0008462282305117697
lj_noisy,25,20,20,20,-40.56373038358714,0.4091516856152485,0.004116859972161529,1.4514115378005954e-06,0.0020761382300406696,0.0014571098086889832
lj_noisy,50,20,20,20,-8.40145422248705,0.19798206322634135,0.004765160046327359,3.502885948591938e-06,0.002878225944004953,0.0009309467510320246
lj_noisy,75,20,20,20,-0.5035533998291417,0.07014486432895548,0.005096114207392416,4.871661269589822e-06,0.001546380389481783,0.000442526931874454
lj_noisy,100,20,20,20,0.00672974907375945,0.05480829988196343,0.005310082358180217,9.13273909191048e-06,0.0014965887181460857,0.0009926883620209991
reid,5,20,20,20,-0.8585455636278929,0.14877516021026266,0.02154076783415691,1.0593408319437003e-06,0.0024588875588960946,0.00032059667282737794
reid,10,20,20,20,-0.40403479661118147,0.16202966614281739,0.028346618455362994,7.298201907701695e-07,0.001973355480004102,0.00032083681726362555
reid,25,20,20,20,-0.12648639758202251,0.17432271557042453,0.034074291474254684,7.671808290865556e-07,0.0014997555059380828,0.0006773756955226418
reid,50,20,20,20,0.14104761742036453,0.14553081703472243,0.03674579830514,1.816653325192874e-06,0.0010097773279994725,0.001056927631725557
reid,75,20,20,20,0.16055527098600175,0.14505623101991375,0.03814548712888468,5.503204972967523e-06,0.002975113270804286,0.0014610046840971337
reid,100,20,20,20,0.17879380671894773,0.14786844707703045,0.039261933802947645,1.425611586114428e-05,0.006361982668749988,0.0018624666845425963
