source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error
depablo_low_temp,5,20,20,20,0.7619099360976254,0.10263532485056952,0.0635535199374179,7.118242242309947e-08,0.0005103717499878258,0.00020097913111385423
depablo_low_temp,10,20,20,20,0.9349115203764983,0.06207815297868351,0.08909196724582674,3.1246249232452784e-08,0.00021743387915194035,0.00012535918358480558
depablo_low_temp,25,20,20,20,0.9827761965327173,0.033138402615657335,0.1113451632350467,1.090079168264424e-07,0.00013917223550379275,0.00012209879132569769
depablo_low_temp,50,20,20,20,0.9804602303139964,0.04045141338853368,0.12192390929122102,5.044239678397844e-07,0.00033613431733101604,0.00024349838931811974
depablo_low_temp,75,20,20,20,0.9840069582920054,0.035890773282186976,0.1271388104990921,1.2166870988039591e-06,0.00045310813002288344,0.00030576997669413687
depablo_low_temp,100,20,20,20,0.9795222215853528,0.03610602539234812,0.1309363081666797,2.401587983058562e-06,0.0009211085736751557,0.0005377698369557038
depablo_mixed_temp,5,20,20,20,0.2071762244463793,0.3334178732379819,0.22679945757564682,6.953745349562724e-05,0.01386054934700951,0.0011424737749621272
depablo_mixed_temp,10,20,20,20,0.2974072295974799,0.27143850369281664,0.17922109704665723,6.882283440887705e-05,0.013524579978547991,0.0006810849044995848
depablo_mixed_temp,25,20,20,20,0.39538485853022254,0.24975562632392917,0.18142652653321048,6.156081667398893e-05,0.012230997649021446,0.0007492887627449818
depablo_mixed_temp,50,20,20,20,0.7264536460813222,0.14777555770530998,0.12905106469273595,4.904466427575471e-05,0.00981937835458666,0.0006091317311074818
depablo_mixed_temp,75,20,20,20,0.5432836105289212,0.1738581935138868,0.1721180025747532,4.047246463585452e-05,0.007675206940621138,0.0013735269283642992
depablo_mixed_temp,100,20,20,20,0.7746043311227647,0.10967022929317247,0.12643548055144446,3.716335048125075e-05,0.005545105412602424,0.0013478964188834651
lj_noisy,5,20,20,20,-14.217346090993399,0.11860739027269138,0.0012192600578043978,3.232983836198855e-08,0.00033230254775844513,7.49235405237414e-05
lj_noisy,10,20,20,20,-3.267550428737798,0.07257118606816859,0.002153844244672589,3.6300902728214623e-08,0.00010409855749458075,7.203590794233606e-05
lj_noisy,25,20,20,20,-0.4374556266179548,0.056294677164263264,0.004116859972161529,3.517189661295106e-07,0.0004753061570227146,0.00013952588778920472
lj_noisy,50,20,20,20,0.604875725032487,0.0340138112711772,0.004765160046327359,1.6864843217945235e-06,0.0006566655123606324,0.0002646221546456218
lj_noisy,75,20,20,20,0.5495608734408909,0.037547126460301145,0.005096114207392416,4.361858964330168e-06,0.0008966913912445307,0.0003471349482424557
lj_noisy,100,20,20,20,0.19565739926410153,0.044848660898230794,0.005310082358180217,8.384650050174968e-06,0.001107716467231512,0.0005210655042901635
reid,5,20,20,20,0.19016706259601324,0.11158772185964054,0.02154076783415691,1.4225285205338167e-08,0.00014827256673015653,9.30869330659334e-05
reid,10,20,20,20,0.6355619313668253,0.09299153686751635,0.028346618455362994,3.5749236149129614e-08,0.00014372395817190408,0.00012464887477108276
reid,25,20,20,20,0.9053162753948999,0.04579989243169899,0.034074291474254684,2.8481282310366396e-07,0.00034856757847592237,0.00012927487623528577
reid,50,20,20,20,0.9582319208139464,0.029466349278701086,0.03674579830514,1.3582955688207222e-06,0.0004743199096992612,0.0001930435057147406
reid,75,20,20,20,0.9716603886239007,0.024297415208154455,0.03814548712888468,3.3933689792320364e-06,0.0007099365349859,0.0002494651213055477
reid,100,20,20,20,0.96678153241305,0.02921795359320934,0.039261933802947645,6.5309223884924e-06,0.0012211442925035953,0.00033992461103480307
