source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error
depablo_low_temp,5,20,20,20,-0.4105560971182016,0.24476360836147606,0.0635535199374179,1.9007041942131764e-06,0.0031293984968215225,0.0008556248663808219
depablo_low_temp,10,20,20,20,-0.45618544893036317,0.29071172008841667,0.08909196724582674,1.5015474609469948e-06,0.0026616221002768725,0.0009231733769411221
depablo_low_temp,25,20,20,20,-0.3829527907362793,0.31799090658006735,0.1113451632350467,1.0979949255585098e-06,0.0015673384303227067,0.001354366893065162
depablo_low_temp,50,20,20,20,-0.281196532570668,0.34125673734789175,0.12192390929122102,2.2527990587661862e-06,0.0006976919481530786,0.002618591033387929
depablo_low_temp,75,20,20,20,-0.2157212642113484,0.3522538028722758,0.1271388104990921,4.949654243091572e-06,0.0011918596923351289,0.003972377695026808
depablo_low_temp,100,20,20,20,-0.16528938278772198,0.3570716624396585,0.1309363081666797,9.374082446811372e-06,0.002906533097848296,0.005345242272596806
depablo_mixed_temp,5,20,20,20,0.06073137918529614,0.3677721034012419,0.22679945757564682,3.3815629618061396e-05,0.007670994766522199,0.0008592763362685219
depablo_mixed_temp,10,20,20,20,-0.017416764477508284,0.3510832331439885,0.17922109704665723,3.763795381104273e-05,0.007348289515357464,0.0011053006266593002
depablo_mixed_temp,25,20,20,20,0.004854597927827942,0.3428629927108129,0.18142652653321048,3.625329272409772e-05,0.006628035428002476,0.0010681826359359547
depablo_mixed_temp,50,20,20,20,-0.03312033503871281,0.31317286666226163,0.12905106469273595,3.279238277684726e-05,0.004629862727597356,0.0023609921088791454
depablo_mixed_temp,75,20,20,20,-0.05075576464018239,0.3579109637144687,0.1721180025747532,3.38527332587546e-05,0.00341650047339499,0.0039085937925847246
depablo_mixed_temp,100,20,20,20,0.010242978897428423,0.3158609041610081,0.12643548055144446,5.251555485870085e-05,0.0044861550908535715,0.004578040911292191
lj_noisy,5,20,20,20,-7.98616819713191,0.09616177317344861,0.0012192600578043978,1.0226946784541724e-06,0.0023578355088829995,0.00058277971111238
lj_noisy,10,20,20,20,-5.868165098093674,0.10969769752286695,0.002153844244672589,5.931968885874994e-07,0.001773251302074641,0.0003198623584466986
lj_noisy,25,20,20,20,-5.3215028105889255,0.14604590222802377,0.004116859972161529,3.884569132139859e-07,0.0003789655165746808,0.00048423745029140263
lj_noisy,50,20,20,20,-9.583284057123327,0.21255203630042424,0.004765160046327359,3.256490305147963e-06,0.002124400564935058,0.001854825287591666
lj_noisy,75,20,20,20,-15.793279953270329,0.2816295228305036,0.005096114207392416,9.01424523362948e-06,0.0034160654991865157,0.003338368411641568
lj_noisy,100,20,20,20,-21.90531218501156,0.3393590812362115,0.005310082358180217,1.957530744221003e-05,0.004546117479912936,0.0050445952103473244
reid,5,20,20,20,-2.3298130659414182,0.23506008065537748,0.02154076783415691,7.046908649499529e-07,0.0019218427769374102,0.0006882717090775259
reid,10,20,20,20,-1.6112661287268444,0.23458297921493626,0.028346618455362994,5.04608362206227e-07,0.0015240081876982004,0.0006981985410675406
reid,25,20,20,20,-0.4502003085240909,0.18359509552806208,0.034074291474254684,6.00429234154376e-07,0.0009991899831220507,0.0008396202756557614
reid,50,20,20,20,0.12177344118872169,0.1533936060305489,0.03674579830514,2.283575568640117e-06,0.0014801781857386232,0.0012419736274750903
reid,75,20,20,20,0.2416916453707899,0.15012396764458327,0.03814548712888468,5.235536710301858e-06,0.0014895030297338962,0.0017342460640065837
reid,100,20,20,20,0.24220471962101175,0.15363204329344904,0.039261933802947645,9.961273212866217e-06,0.002038345206528902,0.002323922727373429
