source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error
depablo_low_temp,5,20,20,20,0.7183997495467216,0.11868158775653048,0.0635535199374179,6.834277854750326e-08,0.0003802548366365954,0.0001895943689305568
depablo_low_temp,10,20,20,20,0.8623888763863556,0.09138381237019833,0.08909196724582674,6.097488844947207e-08,0.00025339535204693675,0.00018346614051552025
depablo_low_temp,25,20,20,20,0.9610548085558478,0.0541877073684748,0.1113451632350467,1.9642861097679544e-07,0.00047258136328309774,0.00021113367911311797
depablo_low_temp,50,20,20,20,0.9793832605044736,0.042708736348114354,0.12192390929122102,6.048652394952114e-07,0.0004790633451193571,0.0002620485392981209
depablo_low_temp,75,20,20,20,0.9780069179738405,0.04406711773010248,0.1271388104990921,1.4348899384231117e-06,0.0008312869351357222,0.00036172033578623085
depablo_low_temp,100,20,20,20,0.9659860546435489,0.05388791989471085,0.1309363081666797,3.0828481754952008e-06,0.001550069870427251,0.0005854607297806069
depablo_mixed_temp,5,20,20,20,-0.7373369350850782,0.4787568798242444,0.22679945757564682,7.96609542312865e-05,0.010414036703878082,0.006184104381827637
depablo_mixed_temp,10,20,20,20,-0.6169483614393518,0.3726939816224265,0.17922109704665723,8.2361998993008e-05,0.010149001120589673,0.0065850411498104226
depablo_mixed_temp,25,20,20,20,-0.5591083823575569,0.3417378367115702,0.18142652653321048,5.86722116715066e-05,0.008743596042040735,0.005527729557070415
depablo_mixed_temp,50,20,20,20,-0.3899549778750411,0.3252050220436277,0.12905106469273595,7.264393450725492e-05,0.00800134320743382,0.006324338191188872
depablo_mixed_temp,75,20,20,20,-0.7068487334830249,0.38266664047309823,0.1721180025747532,6.9256654873584e-05,0.006250468688085676,0.00671296501532197
depablo_mixed_temp,100,20,20,20,-0.3306922331906945,0.2978397762009835,0.12643548055144446,0.00011003452474938058,0.0066790854092687365,0.006509163536247797
lj_noisy,5,20,20,20,-10.193894903855908,0.07844975438552504,0.0012192600578043978,4.134447388892681e-08,0.0003845861298032105,0.00011328174659865908
lj_noisy,10,20,20,20,-4.683623820817047,0.07723116528762641,0.002153844244672589,5.05462668165535e-08,0.00025447207735851407,0.00011986584431724622
lj_noisy,25,20,20,20,-1.001096534971154,0.0658566907018513,0.004116859972161529,3.5272703655664375e-07,0.00036316359182819724,0.0002122942853020504
lj_noisy,50,20,20,20,-0.022822945483157886,0.05566716977865479,0.004765160046327359,1.7178758298541652e-06,0.0006437429925426841,0.0003260455443523824
lj_noisy,75,20,20,20,0.18770526751844963,0.05298905940946839,0.005096114207392416,4.372270734620543e-06,0.0008544278331100941,0.00048098521074280143
lj_noisy,100,20,20,20,-0.16702791984670506,0.06124814885956784,0.005310082358180217,8.759937259128492e-06,0.0012844891287386417,0.0006088843103498221
reid,5,20,20,20,-0.47133350188709766,0.15065034802324884,0.02154076783415691,2.3345841615451944e-08,0.0001787841465556994,0.00014221714754967252
reid,10,20,20,20,0.7433344180100749,0.06953622556577935,0.028346618455362994,4.1086398505640886e-08,0.0001514102565124631,8.413475061388453e-05
reid,25,20,20,20,0.8794544020426183,0.04989298881764941,0.034074291474254684,2.8458884688831175e-07,0.00034134817542508245,0.0001797501459805062
reid,50,20,20,20,0.8717108559500569,0.05518281826834491,0.03674579830514,1.4205394329280808e-06,0.0006588700693100691,0.0003755446639843285
reid,75,20,20,20,0.8679979486454407,0.05268714735934503,0.03814548712888468,3.5222375487364843e-06,0.0008850741200149059,0.0005672888335539028
reid,100,20,20,20,0.8584626836441569,0.053167475620800674,0.039261933802947645,7.248413299976164e-06,0.0015411757864058017,0.0007452698220731691
