epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.708862133716282,0.6185066400782058,0.7184393865497489,0.6943853318691253,0.8917574363319497,0.540443629026413,0.7088621324091626,0.8917574363319497,0.6134946103256784,0.3883305217605084,0.7515511574456468,0.7203545186202973,0.6200787326088175,0.7515511574456468,2D AE mixed-T exclusion,2,normalized_delta,96
2,0.5486694233982187,0.5927522678026244,0.5648545115401871,0.5627195225734459,0.6955845621071364,0.3877041949253333,0.5486694265353053,0.6955845621071364,0.5863583803961151,0.36489132049609907,0.6961343990988098,0.7215663621318527,0.5941973605755871,0.7215663621318527,2D AE mixed-T exclusion,2,normalized_delta,96
3,0.5218463751046281,0.5797901860389271,0.5363212837200416,0.5284199134691765,0.6697463014408161,0.36737291401154115,0.5218463763071779,0.6697463014408161,0.5756579505671796,0.3672770652337931,0.6754792729043402,0.7011607566964813,0.5813056982782049,0.7011607566964813,2D AE mixed-T exclusion,2,normalized_delta,96
4,0.5050337305978725,0.5528999121467534,0.5161487601305309,0.502222604971183,0.6474680681761943,0.3654105193128711,0.5050337308200828,0.6474680681761943,0.5500398215739742,0.35607775498647243,0.6210573066200595,0.6850410592742264,0.5540587069602528,0.6850410592742264,2D AE mixed-T exclusion,2,normalized_delta,96
5,0.3381348781679806,0.25209838522990285,0.3377981601969192,0.2925878411453021,0.4492133240950735,0.27260347389076883,0.3381348797103814,0.4492133240950735,0.24928955814654105,0.23833425567136146,0.1520152102020802,0.3695311249757651,0.25329353028306895,0.3695311249757651,2D AE mixed-T exclusion,2,normalized_delta,96
6,0.20570192289979836,0.23153204772572375,0.19319206531110564,0.11289055239605277,0.32487791972725016,0.17933729665451928,0.20570192292594072,0.32487791972725016,0.2285989227312568,0.21188943804008886,0.13412100346613443,0.35235786519479007,0.23278943556700446,0.35235786519479007,2D AE mixed-T exclusion,2,normalized_delta,96
7,0.1946623599450839,0.22804186737017804,0.1812001958097282,0.10037432505111946,0.31481167603480187,0.1688010783768014,0.19466235982090754,0.31481167603480187,0.22485331769689526,0.20999632517487044,0.12704874830524204,0.35101513618428726,0.22935340322146658,0.35101513618428726,2D AE mixed-T exclusion,2,normalized_delta,96
8,0.1907422887651544,0.2296175693431379,0.1778516869403814,0.09739462001935432,0.31028023354317014,0.16455201063501207,0.1907422880658455,0.31028023354317014,0.22627411590594995,0.20712538924999535,0.12947027678455925,0.3560242430103244,0.23087330301495967,0.3560242430103244,2D AE mixed-T exclusion,2,normalized_delta,96
9,0.18874475555984596,0.22754065759087863,0.17560925832704494,0.0959489844837471,0.3081508125129499,0.16213446827115197,0.18874475508928298,0.3081508125129499,0.2243758404970561,0.2052813796180999,0.13140918346471153,0.3493275667715352,0.22867270995144887,0.3493275667715352,2D AE mixed-T exclusion,2,normalized_delta,96
10,0.1884101894341017,0.2272012579450874,0.1752236650570443,0.09512771964073181,0.30861013394437337,0.16149271752097105,0.18841019036869208,0.30861013394437337,0.22409048373075693,0.2024606519844383,0.1345596998653491,0.3477902719314443,0.22827020792707722,0.3477902719314443,2D AE mixed-T exclusion,2,normalized_delta,96
11,0.18727741688489913,0.22682010380943354,0.1739870215324979,0.09446862353208034,0.3065061044144003,0.1608575226641015,0.18727741687019406,0.3065061044144003,0.2235827563379548,0.20110669458517805,0.13035296852467582,0.3521969087742036,0.2278855239613525,0.3521969087742036,2D AE mixed-T exclusion,2,normalized_delta,96
12,0.18606631120568828,0.2262510565109551,0.17290601440166173,0.09410269241780042,0.3052886233125862,0.15880761745532876,0.18606631106190516,0.3052886233125862,0.2230809515366625,0.20319545717939036,0.1284127464023186,0.35043193251476623,0.2273467120321584,0.35043193251476623,2D AE mixed-T exclusion,2,normalized_delta,96
13,0.18505830658893835,0.22702793417939623,0.1720298611411923,0.09345631426886508,0.30406185996375584,0.1576567473674291,0.18505830720001668,0.30406185996375584,0.22382880628329554,0.20272542306338437,0.1296266044228105,0.35203827275836375,0.22813010008151954,0.35203827275836375,2D AE mixed-T exclusion,2,normalized_delta,96
14,0.1842994836992339,0.22328216938399956,0.17176875475990144,0.09302412777354843,0.303035528095145,0.1568387976896606,0.18429948451945133,0.303035528095145,0.22014289667927905,0.19924124039971502,0.12440341501496732,0.34936746867606416,0.2243373746969155,0.34936746867606416,2D AE mixed-T exclusion,2,normalized_delta,96
15,0.18388898902033504,0.2221028827351371,0.1708635939579261,0.09240497433041271,0.30284208188715733,0.1564199127649006,0.18388898966082357,0.30284208188715733,0.219203706781723,0.19825898924318608,0.12782264326233417,0.3434297523490386,0.2231704616181863,0.3434297523490386,2D AE mixed-T exclusion,2,normalized_delta,96
