source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error,variant,latent_dim,seed,job_id
depablo_low_temp,5,20,20,20,0.4127214013591921,0.1632908622600231,0.0635535199374179,7.603991679872024e-06,0.0052757844299776,0.0009345004131319,orientation_corrected,2,3456456,4670359.zeus-master
depablo_low_temp,10,20,20,20,0.4083790540997458,0.2003895314917826,0.0890919672458267,6.4325833831535565e-06,0.0046485032187774,0.0008871120167896,orientation_corrected,2,3456456,4670359.zeus-master
depablo_low_temp,25,20,20,20,0.5625530415380927,0.1878211352830882,0.1113451632350467,3.832736477349386e-06,0.0037624327582307,0.0009872236842056,orientation_corrected,2,3456456,4670359.zeus-master
depablo_low_temp,50,20,20,20,0.8298442451701692,0.1213593411197309,0.121923909291221,1.4734395861637494e-06,0.0018007517093792,0.0008511575579177,orientation_corrected,2,3456456,4670359.zeus-master
depablo_low_temp,75,20,20,20,0.9614676978507076,0.0506454113371565,0.1271388104990921,2.213019051566789e-06,0.0018224305240437,0.0006834386527771,orientation_corrected,2,3456456,4670359.zeus-master
depablo_low_temp,100,20,20,20,0.7366595679036203,0.1625682270786308,0.1309363081666797,8.361869856798875e-06,0.005262927012518,0.0019215457956306,orientation_corrected,2,3456456,4670359.zeus-master
depablo_mixed_temp,5,20,20,20,-0.2297547493792446,0.4340567902431835,0.2267994575756468,2.9019933008100908e-05,0.006787476883619,0.0028201636087032,orientation_corrected,2,3456456,4670359.zeus-master
depablo_mixed_temp,10,20,20,20,-0.1035191926460323,0.3210570864645276,0.1792210970466572,3.24676528471457e-05,0.0063268159807194,0.0030622004298493,orientation_corrected,2,3456456,4670359.zeus-master
depablo_mixed_temp,25,20,20,20,-0.1564756042724822,0.3121124959908052,0.1814265265332104,3.21215914581785e-05,0.0052731397794559,0.0036602643696824,orientation_corrected,2,3456456,4670359.zeus-master
depablo_mixed_temp,50,20,20,20,0.0089203202470361,0.2579073673127613,0.1290510646927359,2.7812757369360956e-05,0.0023235986940562,0.0036195916531141,orientation_corrected,2,3456456,4670359.zeus-master
depablo_mixed_temp,75,20,20,20,0.5918870269026635,0.191889257803332,0.1721180025747532,2.611148915150352e-05,0.002067247685045,0.0031523570301942,orientation_corrected,2,3456456,4670359.zeus-master
depablo_mixed_temp,100,20,20,20,-0.3652089459092624,0.3497080901699661,0.1264354805514444,3.8780554041295547e-05,0.0042426438536494,0.0055296255974099,orientation_corrected,2,3456456,4670359.zeus-master
lj_noisy,5,20,20,20,-1.318998645763147,0.0428301168497444,0.0012192600578043,1.0009433694335713e-06,0.0022191500524058,0.0007269052948686,orientation_corrected,2,3456456,4670359.zeus-master
lj_noisy,10,20,20,20,-0.8104425367021844,0.052317091055092,0.0021538442446725,6.798650211692348e-07,0.0017455477500334,0.0005562235397519,orientation_corrected,2,3456456,4670359.zeus-master
lj_noisy,25,20,20,20,-0.3860360616166578,0.0636473856283248,0.0041168599721615,4.6796179162811326e-07,0.0006431815563701,0.0003014503570739,orientation_corrected,2,3456456,4670359.zeus-master
lj_noisy,50,20,20,20,-0.272341386907875,0.0663163318536611,0.0047651600463273,2.0656522622175543e-06,0.0013083986705169,0.0006103153398726,orientation_corrected,2,3456456,4670359.zeus-master
lj_noisy,75,20,20,20,-0.5351757807679072,0.0695694891633302,0.0050961142073924,5.740165761380922e-06,0.0025082408217713,0.0012108568684197,orientation_corrected,2,3456456,4670359.zeus-master
lj_noisy,100,20,20,20,-3.271939471869765,0.1106000031159179,0.0053100823581802,1.4128736711427336e-05,0.0048956715501844,0.002834159892518,orientation_corrected,2,3456456,4670359.zeus-master
reid,5,20,20,20,-1.2598760316006294,0.1862441485298251,0.0215407678341569,1.604896787910093e-07,0.0008972558105597,0.0002934464537247,orientation_corrected,2,3456456,4670359.zeus-master
reid,10,20,20,20,-1.8727094408171467,0.2410453531590419,0.0283466184553629,9.755015197843165e-08,0.0003642485360614,0.0004436880895809,orientation_corrected,2,3456456,4670359.zeus-master
reid,25,20,20,20,-2.9209355362481477,0.3153134335221734,0.0340742914742546,9.159977135908548e-07,0.0008616924518719,0.0013931577617768,orientation_corrected,2,3456456,4670359.zeus-master
reid,50,20,20,20,-1.046676818091755,0.2456974251350263,0.03674579830514,3.133340449323896e-06,0.0016156443860381,0.0022401096590328,orientation_corrected,2,3456456,4670359.zeus-master
reid,75,20,20,20,0.8973065254965757,0.052778945393245,0.0381454871288846,3.780757251092837e-06,0.0009244741871953,0.0006543452851474,orientation_corrected,2,3456456,4670359.zeus-master
reid,100,20,20,20,-0.5268325401927967,0.2266668855048057,0.0392619338029476,1.0001166890560853e-05,0.0031230829190462,0.0027573413972277,orientation_corrected,2,3456456,4670359.zeus-master
depablo_low_temp,5,20,20,20,0.4834253717158567,0.1472548994830745,0.0635535199374179,1.8646803119359847e-07,0.0008143013168592,0.0001466576940401,orientation_corrected,2,123,4670360.zeus-master
depablo_low_temp,10,20,20,20,0.6596038876680796,0.1511820361720518,0.0890919672458267,1.5752152249248752e-07,0.0007281390746356,0.0001286159591472,orientation_corrected,2,123,4670360.zeus-master
depablo_low_temp,25,20,20,20,0.9173726322515744,0.0821716390998613,0.1113451632350467,1.9498603744949608e-07,0.0005480556515976,0.0002342750776733,orientation_corrected,2,123,4670360.zeus-master
depablo_low_temp,50,20,20,20,0.9618522287508138,0.0564745492345682,0.121923909291221,5.594623520011055e-07,0.0004739232361316,0.0003430567274335,orientation_corrected,2,123,4670360.zeus-master
depablo_low_temp,75,20,20,20,0.9725400688729002,0.0482105128093452,0.1271388104990921,1.3755065580767222e-06,0.0006933232303708,0.0005099607311422,orientation_corrected,2,123,4670360.zeus-master
depablo_low_temp,100,20,20,20,0.96054551518631,0.061408847653693,0.1309363081666797,2.906079160425179e-06,0.0012910681776702,0.0008291196572827,orientation_corrected,2,123,4670360.zeus-master
